"utc_date","local_date","exp_id","exp_ver","id","prolific_id","browser","task","task_ver","gorilla_counterbalance","trial_row","rt","response","attempt","accuracy","dishonest","display","counterbalance_order","list","event","condition","event_name","stim","seq_pos","spatial_pos"
"13/04/2021 15:09:21","13/04/2021 11:09:23",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b3",2,"SS5",48,692.29500000074,4,1,1,0,"motor_trial_mem","SS5",3,4,"pred","grocery store.png","seaweed.png",2,4
"13/04/2021 15:09:25","13/04/2021 11:09:28",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b3",2,"SS5",50,870.784999999159,3,1,1,0,"motor_trial_mem","SS5",3,4,"pred","grocery store.png","blackpepper.png",3,3
"13/04/2021 15:09:30","13/04/2021 11:09:32",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b3",2,"SS5",52,831.83000000281,4,1,1,0,"motor_trial_mem","SS5",3,4,"pred","grocery store.png","corn.png",4,4
"13/04/2021 15:09:34","13/04/2021 11:09:36",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b3",2,"SS5",54,525.854999999865,2,1,1,0,"motor_trial_mem","SS5",3,4,"pred","grocery store.png","burger.png",5,2
"13/04/2021 15:09:38","13/04/2021 11:09:41",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b3",2,"SS5",56,716.314999997849,3,1,1,0,"motor_trial_mem","SS5",3,4,"pred","grocery store.png","sandwich.png",6,3
"13/04/2021 15:11:30","13/04/2021 11:11:32",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b4",2,"SS5",4,696.714999998221,4,1,1,0,"motor_trial_cue","SS5",4,1,"rand","pet store.png","bear.png",1,4
"13/04/2021 15:11:34","13/04/2021 11:11:36",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b4",2,"SS5",6,716.560000000754,2,1,1,0,"motor_trial_cue","SS5",4,1,"rand","pet store.png","hedgehog.png",2,2
"13/04/2021 15:11:38","13/04/2021 11:11:41",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b4",2,"SS5",8,575.525000000198,3,1,1,0,"motor_trial_cue","SS5",4,1,"rand","pet store.png","cat.png",3,3
"13/04/2021 15:11:42","13/04/2021 11:11:45",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b4",2,"SS5",10,497.65999999363,1,1,1,0,"motor_trial_cue","SS5",4,1,"rand","pet store.png","armadillo.png",4,1
"13/04/2021 15:11:46","13/04/2021 11:11:49",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b4",2,"SS5",12,459.249999999884,2,1,1,0,"motor_trial_cue","SS5",4,1,"rand","pet store.png","moose.png",5,2
"13/04/2021 15:11:50","13/04/2021 11:11:53",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b4",2,"SS5",14,421.659999999974,1,1,1,0,"motor_trial_cue","SS5",4,1,"rand","pet store.png","snake.png",6,1
"13/04/2021 15:11:58","13/04/2021 11:12:01",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b4",2,"SS5",18,576.73000000068,4,1,1,0,"motor_trial_cue","SS5",4,2,"rand","pet store.png","canadiangoose.png",1,4
"13/04/2021 15:12:02","13/04/2021 11:12:05",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b4",2,"SS5",20,546.069999996689,1,1,1,0,"motor_trial_cue","SS5",4,2,"rand","pet store.png","rabbit.png",2,1
"13/04/2021 15:12:07","13/04/2021 11:12:09",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b4",2,"SS5",22,909.35499999614,3,1,1,0,"motor_trial_cue","SS5",4,2,"rand","pet store.png","bat.png",3,3
"13/04/2021 15:12:11","13/04/2021 11:12:13",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b4",2,"SS5",24,457.374999998137,2,1,1,0,"motor_trial_cue","SS5",4,2,"rand","pet store.png","elephant.png",4,2
"13/04/2021 15:12:14","13/04/2021 11:12:17",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b4",2,"SS5",26,440.519999996468,3,1,1,0,"motor_trial_cue","SS5",4,2,"rand","pet store.png","fox.png",5,3
"13/04/2021 15:12:18","13/04/2021 11:12:21",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b4",2,"SS5",28,418.714999999793,1,1,1,0,"motor_trial_cue","SS5",4,2,"rand","pet store.png","frog.png",6,1
"13/04/2021 15:12:27","13/04/2021 11:12:29",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b4",2,"SS5",32,753.12500000291,1,1,1,0,"motor_trial_mem","SS5",4,3,"pred","grocery store.png","cheese.png",1,1
"13/04/2021 15:12:31","13/04/2021 11:12:33",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b4",2,"SS5",34,394.845000002533,4,1,1,0,"motor_trial_mem","SS5",4,3,"pred","grocery store.png","taco.png",2,4
"13/04/2021 15:12:35","13/04/2021 11:12:37",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b4",2,"SS5",36,476.17000000173,3,1,1,0,"motor_trial_mem","SS5",4,3,"pred","grocery store.png","walnuts.png",3,3
"13/04/2021 15:12:39","13/04/2021 11:12:41",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b4",2,"SS5",38,501.074999992852,4,1,1,0,"motor_trial_mem","SS5",4,3,"pred","grocery store.png","burrito.png",4,4
