"utc_date","local_date","exp_id","exp_ver","id","prolific_id","browser","task","task_ver","gorilla_counterbalance","trial_row","rt","response","attempt","accuracy","dishonest","display","correct","event_name","counterbalance_order","block","phase","condition","seq_pos","test_rep","learn_rep","pred_learn_rep"
"09/02/2021 22:03:37","09/02/2021 17:03:38",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",82,4331,1,1,1,0,"seq_trial",1,"grocery store.png","SS5",2,"chunked","pred",1,NA,6,6
"09/02/2021 22:03:38","09/02/2021 17:03:39",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",83,555,4,1,1,0,"seq_trial",4,"grocery store.png","SS5",2,"chunked","pred",2,NA,6,6
"09/02/2021 22:03:40","09/02/2021 17:03:40",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",84,583,3,1,1,0,"seq_trial",3,"grocery store.png","SS5",2,"chunked","pred",3,NA,6,6
"09/02/2021 22:03:40","09/02/2021 17:03:41",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",85,341,4,1,1,0,"seq_trial",4,"grocery store.png","SS5",2,"chunked","pred",4,NA,6,6
"09/02/2021 22:03:41","09/02/2021 17:03:42",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",86,334,2,1,1,0,"seq_trial",2,"grocery store.png","SS5",2,"chunked","pred",5,NA,6,6
"09/02/2021 22:03:42","09/02/2021 17:03:43",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",87,292,3,1,1,0,"seq_trial",3,"grocery store.png","SS5",2,"chunked","pred",6,NA,6,6
"09/02/2021 22:03:44","09/02/2021 17:03:45",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",88,1200,NA,NA,0,0,"fixation",NA,NA,"SS5",2,"chunked",NA,NA,NA,NA,NA
"09/02/2021 22:03:47","09/02/2021 17:03:48",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",90,500,1,1,1,0,"seq_trial",1,"grocery store.png","SS5",2,"chunked","pred",1,NA,7,7
"09/02/2021 22:03:48","09/02/2021 17:03:49",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",91,292,4,1,1,0,"seq_trial",4,"grocery store.png","SS5",2,"chunked","pred",2,NA,7,7
"09/02/2021 22:03:49","09/02/2021 17:03:50",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",92,242,3,1,1,0,"seq_trial",3,"grocery store.png","SS5",2,"chunked","pred",3,NA,7,7
"09/02/2021 22:03:50","09/02/2021 17:03:50",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",93,238,4,1,1,0,"seq_trial",4,"grocery store.png","SS5",2,"chunked","pred",4,NA,7,7
"09/02/2021 22:03:51","09/02/2021 17:03:51",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",94,217,2,1,1,0,"seq_trial",2,"grocery store.png","SS5",2,"chunked","pred",5,NA,7,7
"09/02/2021 22:03:51","09/02/2021 17:03:52",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",95,169,3,1,1,0,"seq_trial",3,"grocery store.png","SS5",2,"chunked","pred",6,NA,7,7
"09/02/2021 22:03:53","09/02/2021 17:03:54",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",96,1200,NA,NA,0,0,"fixation",NA,NA,"SS5",2,"chunked",NA,NA,NA,NA,NA
"09/02/2021 22:03:56","09/02/2021 17:03:57",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",98,474,1,1,1,0,"seq_trial",1,"grocery store.png","SS5",2,"chunked","pred",1,NA,8,8
"09/02/2021 22:03:57","09/02/2021 17:03:58",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",99,137,4,1,1,0,"seq_trial",4,"grocery store.png","SS5",2,"chunked","pred",2,NA,8,8
"09/02/2021 22:03:58","09/02/2021 17:03:58",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",100,177,3,1,1,0,"seq_trial",3,"grocery store.png","SS5",2,"chunked","pred",3,NA,8,8
"09/02/2021 22:03:58","09/02/2021 17:03:59",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",101,85,4,1,1,0,"seq_trial",4,"grocery store.png","SS5",2,"chunked","pred",4,NA,8,8
"09/02/2021 22:03:59","09/02/2021 17:04:00",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",102,150,2,1,1,0,"seq_trial",2,"grocery store.png","SS5",2,"chunked","pred",5,NA,8,8
"09/02/2021 22:04:00","09/02/2021 17:04:00",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",103,112,3,1,1,0,"seq_trial",3,"grocery store.png","SS5",2,"chunked","pred",6,NA,8,8
"09/02/2021 22:04:01","09/02/2021 17:04:02",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",104,1200,NA,NA,0,0,"fixation",NA,NA,"SS5",2,"chunked",NA,NA,NA,NA,NA
"09/02/2021 22:04:05","09/02/2021 17:04:06",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",106,442,1,1,1,0,"seq_trial",1,"grocery store.png","SS5",2,"chunked","pred",1,NA,9,9
"09/02/2021 22:04:05","09/02/2021 17:04:06",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",107,22,4,1,1,0,"seq_trial",4,"grocery store.png","SS5",2,"chunked","pred",2,NA,9,9
"09/02/2021 22:04:06","09/02/2021 17:04:07",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",108,66,3,1,1,0,"seq_trial",3,"grocery store.png","SS5",2,"chunked","pred",3,NA,9,9
"09/02/2021 22:04:08","09/02/2021 17:04:08",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",109,1189,4,1,1,0,"seq_trial",4,"grocery store.png","SS5",2,"chunked","pred",4,NA,9,9
"09/02/2021 22:04:09","09/02/2021 17:04:09",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",110,319,2,1,1,0,"seq_trial",2,"grocery store.png","SS5",2,"chunked","pred",5,NA,9,9
"09/02/2021 22:04:09","09/02/2021 17:04:10",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",111,322,3,1,1,0,"seq_trial",3,"grocery store.png","SS5",2,"chunked","pred",6,NA,9,9
"09/02/2021 22:04:11","09/02/2021 17:04:12",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",112,1200,NA,NA,0,0,"fixation",NA,NA,"SS5",2,"chunked",NA,NA,NA,NA,NA
"09/02/2021 22:04:15","09/02/2021 17:04:16",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",114,633,1,1,1,0,"seq_trial",1,"grocery store.png","SS5",2,"chunked","pred",1,NA,10,10
"09/02/2021 22:04:16","09/02/2021 17:04:16",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",115,275,4,1,1,0,"seq_trial",4,"grocery store.png","SS5",2,"chunked","pred",2,NA,10,10
"09/02/2021 22:04:16","09/02/2021 17:04:17",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",116,281,3,1,1,0,"seq_trial",3,"grocery store.png","SS5",2,"chunked","pred",3,NA,10,10
"09/02/2021 22:04:17","09/02/2021 17:04:18",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",117,235,4,1,1,0,"seq_trial",4,"grocery store.png","SS5",2,"chunked","pred",4,NA,10,10
"09/02/2021 22:04:18","09/02/2021 17:04:19",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",118,265,2,1,1,0,"seq_trial",2,"grocery store.png","SS5",2,"chunked","pred",5,NA,10,10
"09/02/2021 22:04:19","09/02/2021 17:04:19",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",119,211,3,1,1,0,"seq_trial",3,"grocery store.png","SS5",2,"chunked","pred",6,NA,10,10
"09/02/2021 22:04:20","09/02/2021 17:04:21",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",120,1200,NA,NA,0,0,"fixation",NA,NA,"SS5",2,"chunked",NA,NA,NA,NA,NA
"09/02/2021 22:04:25","09/02/2021 17:04:26",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",122,1201.98000000004,NA,NA,0,0,"fixation",NA,NA,"SS5",2,"chunked",NA,NA,NA,NA,NA
"09/02/2021 22:04:55","09/02/2021 17:04:56",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",138,3000,NA,NA,0,0,"test_start",NA,"grocery store.png","SS5",2,"chunked","pred",NA,NA,NA,NA
"09/02/2021 22:04:56","09/02/2021 17:04:56",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",139,663,1,1,1,0,"test_trial",1,"grocery store.png","SS5",2,"chunked","pred",1,3,NA,NA
"09/02/2021 22:04:57","09/02/2021 17:04:57",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",140,304,4,1,1,0,"test_trial",4,"grocery store.png","SS5",2,"chunked","pred",2,3,NA,NA
"09/02/2021 22:04:57","09/02/2021 17:04:58",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",141,146,3,1,1,0,"test_trial",3,"grocery store.png","SS5",2,"chunked","pred",3,3,NA,NA
"09/02/2021 22:04:58","09/02/2021 17:04:59",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",142,48,4,1,1,0,"test_trial",4,"grocery store.png","SS5",2,"chunked","pred",4,3,NA,NA
"09/02/2021 22:04:59","09/02/2021 17:04:59",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",143,211,2,1,1,0,"test_trial",2,"grocery store.png","SS5",2,"chunked","pred",5,3,NA,NA
"09/02/2021 22:04:59","09/02/2021 17:05:00",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",144,138,3,1,1,0,"test_trial",3,"grocery store.png","SS5",2,"chunked","pred",6,3,NA,NA
"09/02/2021 22:05:01","09/02/2021 17:05:02",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",145,1200,NA,NA,0,0,"fixation",NA,NA,"SS5",2,"chunked",NA,NA,NA,NA,NA
"09/02/2021 22:05:04","09/02/2021 17:05:05",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",146,3002.01999999996,NA,NA,0,0,"test_start",NA,"grocery store.png","SS5",2,"chunked","pred",NA,NA,NA,NA
"09/02/2021 22:05:05","09/02/2021 17:05:05",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",147,516,1,1,1,0,"test_trial",1,"grocery store.png","SS5",2,"chunked","pred",1,4,NA,NA
"09/02/2021 22:05:05","09/02/2021 17:05:06",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",148,38,4,1,1,0,"test_trial",4,"grocery store.png","SS5",2,"chunked","pred",2,4,NA,NA
"09/02/2021 22:05:06","09/02/2021 17:05:07",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",149,49,3,1,1,0,"test_trial",3,"grocery store.png","SS5",2,"chunked","pred",3,4,NA,NA
