"utc_date","local_date","exp_id","exp_ver","id","prolific_id","browser","task","task_ver","gorilla_counterbalance","trial_row","screen_name","zone_type","rt","response","attempt","accuracy","dishonest","display","counterbalance_order","list","event","condition","event_name","seq_pos","spatial_pos","recon_correct"
"09/02/2021 22:44:06","09/02/2021 17:44:04",40999,4,3008809,"5ec771e68288e91bf1919096","Firefox 85.0","final_recon",3,"SS3",40,"Screen 1","response_button_image",1774,"parrot.png",1,0,0,"recon_trial","SS3",5,1,"rand","pet store.png",2,3,"cheetah.png"
"09/02/2021 22:44:10","09/02/2021 17:44:08",40999,4,3008809,"5ec771e68288e91bf1919096","Firefox 85.0","final_recon",3,"SS3",41,"Screen 1","response_button_image",3783,"cheetah.png",1,0,0,"recon_trial","SS3",5,1,"rand","pet store.png",3,1,"chameleon.png"
"09/02/2021 22:44:13","09/02/2021 17:44:11",40999,4,3008809,"5ec771e68288e91bf1919096","Firefox 85.0","final_recon",3,"SS3",42,"Screen 1","response_button_image",2671,"chameleon.png",1,0,0,"recon_trial","SS3",5,1,"rand","pet store.png",4,4,"frog.png"
"09/02/2021 22:44:15","09/02/2021 17:44:13",40999,4,3008809,"5ec771e68288e91bf1919096","Firefox 85.0","final_recon",3,"SS3",43,"Screen 1","response_button_image",2665,"frog.png",1,0,0,"recon_trial","SS3",5,1,"rand","pet store.png",5,3,"parrot.png"
"09/02/2021 22:44:16","09/02/2021 17:44:14",40999,4,3008809,"5ec771e68288e91bf1919096","Firefox 85.0","final_recon",3,"SS3",44,"Screen 1","response_button_image",333,"pug.png",1,1,0,"recon_trial","SS3",5,1,"rand","pet store.png",6,4,"pug.png"
"09/02/2021 22:44:25","09/02/2021 17:44:23",40999,4,3008809,"5ec771e68288e91bf1919096","Firefox 85.0","final_recon",3,"SS3",25,"Screen 1","response_button_image",8618,"dolphin.png",1,1,0,"recon_trial","SS3",3,3,"rand","pet store.png",1,2,"dolphin.png"
"09/02/2021 22:44:29","09/02/2021 17:44:27",40999,4,3008809,"5ec771e68288e91bf1919096","Firefox 85.0","final_recon",3,"SS3",26,"Screen 1","response_button_image",3605,"flamingo.png",1,0,0,"recon_trial","SS3",3,3,"rand","pet store.png",2,3,"camel.png"
"09/02/2021 22:44:30","09/02/2021 17:44:29",40999,4,3008809,"5ec771e68288e91bf1919096","Firefox 85.0","final_recon",3,"SS3",27,"Screen 1","response_button_image",1628,"camel.png",1,0,0,"recon_trial","SS3",3,3,"rand","pet store.png",3,1,"ladybug.png"
"09/02/2021 22:44:31","09/02/2021 17:44:29",40999,4,3008809,"5ec771e68288e91bf1919096","Firefox 85.0","final_recon",3,"SS3",28,"Screen 1","response_button_image",613,"koala.png",1,0,0,"recon_trial","SS3",3,3,"rand","pet store.png",4,4,"lemur.png"
"09/02/2021 22:44:32","09/02/2021 17:44:30",40999,4,3008809,"5ec771e68288e91bf1919096","Firefox 85.0","final_recon",3,"SS3",29,"Screen 1","response_button_image",531,"ladybug.png",1,0,0,"recon_trial","SS3",3,3,"rand","pet store.png",5,1,"koala.png"
