utc_date,local_date,exp_id,exp_ver,id,prolific_id,browser,task,task_ver,gorilla_counterbalance,trial_row,rt,response,response_bin,confidence,recog_correct,attempt,accuracy,dishonest,display,counterbalance_order,list,quarter,event,event_name,condition,seq_pos,spatial_pos,recog_block,recog_stim,recog_cond
14/07/2021 19:55:58,14/07/2021 15:55:59,56975,3,4265819,60d5d29541e3a5a148be906c,Chrome 91.0.4472.124,recognition,3,SS5,85,657.9000000022352,def_new,new,high,new,1,1,0,recog_trial,SS5,1,1,2,grocery store.png,pred,4,4,4,butterA.png,lure
14/07/2021 19:56:00,14/07/2021 15:56:01,56975,3,4265819,60d5d29541e3a5a148be906c,Chrome 91.0.4472.124,recognition,3,SS5,86,792.5,def_new,new,high,new,1,1,0,recog_trial,SS5,7,4,2,pet store.png,rand,5,1,4,beetleA.png,lure
14/07/2021 19:56:02,14/07/2021 15:56:02,56975,3,4265819,60d5d29541e3a5a148be906c,Chrome 91.0.4472.124,recognition,3,SS5,87,762.6999999992549,def_old,old,high,old,1,1,0,recog_trial,SS5,7,4,1,grocery store.png,pred,2,4,4,dragonfruitB.png,target
14/07/2021 19:56:04,14/07/2021 15:56:04,56975,3,4265819,60d5d29541e3a5a148be906c,Chrome 91.0.4472.124,recognition,3,SS5,88,784.5,def_new,new,high,new,1,1,0,recog_trial,SS5,4,2,2,pet store.png,rand,4,2,4,dolphinA.png,lure
14/07/2021 19:56:05,14/07/2021 15:56:06,56975,3,4265819,60d5d29541e3a5a148be906c,Chrome 91.0.4472.124,recognition,3,SS5,89,771.1999999992549,def_new,new,high,new,1,1,0,recog_trial,SS5,6,3,2,grocery store.png,pred,1,1,4,pretzelA.png,lure
14/07/2021 19:56:07,14/07/2021 15:56:08,56975,3,4265819,60d5d29541e3a5a148be906c,Chrome 91.0.4472.124,recognition,3,SS5,90,826.6000000014901,def_old,old,high,old,1,1,0,recog_trial,SS5,4,2,4,grocery store.png,pred,4,4,4,ramenB.png,target
14/07/2021 19:56:10,14/07/2021 15:56:11,56975,3,4265819,60d5d29541e3a5a148be906c,Chrome 91.0.4472.124,recognition,3,SS5,91,2096.199999999255,def_new,new,high,new,1,1,0,recog_trial,SS5,8,4,1,pet store.png,rand,3,4,4,toadA.png,lure
14/07/2021 19:56:12,14/07/2021 15:56:13,56975,3,4265819,60d5d29541e3a5a148be906c,Chrome 91.0.4472.124,recognition,3,SS5,92,796.3999999985099,def_old,old,high,old,1,1,0,recog_trial,SS5,5,3,3,pet store.png,rand,1,3,4,chameleonB.png,target
14/07/2021 19:56:14,14/07/2021 15:56:15,56975,3,4265819,60d5d29541e3a5a148be906c,Chrome 91.0.4472.124,recognition,3,SS5,93,788.7000000029802,def_old,old,high,new,1,0,0,recog_trial,SS5,7,4,1,grocery store.png,pred,3,3,4,walnutsA.png,lure
14/07/2021 19:56:16,14/07/2021 15:56:16,56975,3,4265819,60d5d29541e3a5a148be906c,Chrome 91.0.4472.124,recognition,3,SS5,94,748.3000000007451,def_new,new,high,new,1,1,0,recog_trial,SS5,1,1,4,pet store.png,rand,4,2,4,bisonA.png,lure
14/07/2021 19:56:18,14/07/2021 15:56:18,56975,3,4265819,60d5d29541e3a5a148be906c,Chrome 91.0.4472.124,recognition,3,SS5,95,822,def_old,old,high,old,1,1,0,recog_trial,SS5,6,3,2,grocery store.png,pred,3,3,4,smoresB.png,target
